Timestamp;age;Generation;Gender;Purchase_Frequency;Purchase_Categories;Personalized_Recommendation_Frequency;Browsing_Frequency;Product_Search_Method;Search_Result_Exploration;Customer_Reviews_Importance;Add_to_Cart_Browsing;Cart_Completion_Frequency;Cart_Abandonment_Factors;Saveforlater_Frequency;Review_Left;Review_Reliability;Review_Helpfulness;Personalized_Recommendation_Frequency ;Recommendation_Helpfulness;Rating_Accuracy ;Shopping_Satisfaction;Service_Appreciation;Improvement_Areas
2023/06/04 1:28:19 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;Yes;Few times a week;Keyword;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Sometimes;Yes;Occasionally;Yes;2;Yes;1;1;Competitive prices;Reducing packaging waste
2023/06/04 2:30:44 PM GMT+5:30;23;Z;Female;Once a month;Clothing and Fashion;Yes;Few times a month;Keyword;Multiple pages;1;Yes;Often;High shipping costs;Rarely;No;Heavily;Yes;2;Sometimes;3;2;Wide product selection;Reducing packaging waste
2023/06/04 5:04:56 PM GMT+5:30;24;Z;Prefer not to say;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/04 5:13:00 PM GMT+5:30;24;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 5:28:06 PM GMT+5:30;22;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 6:01:59 PM GMT+5:30;21;Z;Female;Less than once a month;Clothing and Fashion;No;Rarely;categories;Multiple pages;1;Yes;Rarely;Changed my mind or no longer need the item;Never;No;Heavily;Yes;5;No;5;2;Wide product selection;Product quality and accuracy
2023/06/04 6:31:41 PM GMT+5:30;22;Z;Female;Less than once a month;Clothing and Fashion;No;Rarely;Filter;Multiple pages;1;Yes;Often;High shipping costs;Rarely;No;Heavily;Yes;3;Sometimes;3;3;Wide product selection;Shipping speed and reliability
2023/06/04 7:13:12 PM GMT+5:30;21;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 7:23:21 PM GMT+5:30;20;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 7:33:12 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 7:45:33 PM GMT+5:30;22;Z;Female;Less than once a month;Clothing and Fashion;No;Few times a month;categories;Multiple pages;1;Maybe;Sometimes;Found a better price elsewhere;Sometimes;No;Heavily;Yes;3;Sometimes;3;2;Competitive prices;Shipping speed and reliability
